Stock1,Stock2,Correlation
TCS.NS,TCS.NS,1.0
ULTRACEMCO.NS,TCS.NS,0.2093025280488966
WIPRO.NS,TCS.NS,0.6250121599985985
AAPL,ULTRACEMCO.NS,0.09023830474427577
AXISBANK.NS,ULTRACEMCO.NS,0.45639453929059487
DRREDDY.NS,ULTRACEMCO.NS,0.26323610547260895
GOOGL,ULTRACEMCO.NS,0.06605667621086375
HDFCBANK.NS,ULTRACEMCO.NS,0.4818095628564417
HINDUNILVR.NS,ULTRACEMCO.NS,0.22877584346408725
ICICIBANK.NS,ULTRACEMCO.NS,0.47109448623894
INFY.NS,ULTRACEMCO.NS,0.19122017223983728
ITC.NS,ULTRACEMCO.NS,0.2689020833554589
JSWSTEEL.NS,ULTRACEMCO.NS,0.5447029194770393
KOTAKBANK.NS,ULTRACEMCO.NS,0.3861544748643479
LTTS.NS,ULTRACEMCO.NS,0.2169613880422687
MARUTI.NS,ULTRACEMCO.NS,0.43649971780466806
MSFT,ULTRACEMCO.NS,0.09082138861479432
NESTLEIND.NS,ULTRACEMCO.NS,0.3223475604101114
POWERGRID.NS,ULTRACEMCO.NS,0.38766376144379333
RELIANCE.NS,ULTRACEMCO.NS,0.3919933046973795
SHREECEM.NS,ULTRACEMCO.NS,0.5891752250792244
